id,Club,Country
631,Chelsea FC,England
281,Manchester City,England
11,Arsenal FC,England
985,Manchester United,England
31,Liverpool FC,England
148,Tottenham Hotspur,England
29,Everton FC,England
180,Southampton FC,England
379,West Ham United,England
762,Newcastle United,England
1003,Leicester City,England
512,Stoke City,England
2288,Swansea City,England
1010,Watford FC,England
873,Crystal Palace,England
405,Aston Villa,England
1123,Norwich City,England
984,West Bromwich Albion,England
289,Sunderland AFC,England
989,AFC Bournemouth,England
3008,Hull City,England
641,Middlesbrough FC,England
1132,Burnley FC,England
1237,Brighton & Hove Albion,England
1110,Huddersfield Town,England
543,Wolverhampton Wanderers,England
931,Fulham FC,England
603,Cardiff City,England
350,Sheffield United,England
399,Leeds United,England
1148,Brentford FC,England
131,FC Barcelona,Spain
418,Real Madrid,Spain
13,Atlético de Madrid,Spain
1049,Valencia CF,Spain
368,Sevilla FC,Spain
621,Athletic Bilbao,Spain
1050,Villarreal CF,Spain
681,Real Sociedad,Spain
940,Celta de Vigo,Spain
1084,Málaga CF,Spain
16795,Granada CF,Spain
714,RCD Espanyol Barcelona,Spain
897,Deportivo de La Coruña,Spain
1533,SD Eibar,Spain
150,Real Betis Balompié,Spain
2448,Sporting Gijón,Spain
3368,Levante UD,Spain
367,Rayo Vallecano,Spain
3709,Getafe CF,Spain
472,UD Las Palmas,Spain
1108,Deportivo Alavés,Spain
1244,CD Leganés,Spain
331,CA Osasuna,Spain
12321,Girona FC,Spain
366,Real Valladolid CF,Spain
5358,SD Huesca,Spain
237,RCD Mallorca,Spain
2687,Cádiz CF,Spain
1531,Elche CF,Spain
506,Juventus FC,Italy
12,AS Roma,Italy
6195,SSC Napoli,Italy
46,Inter Milan,Italy
5,AC Milan,Italy
430,ACF Fiorentina,Italy
398,SS Lazio,Italy
1038,UC Sampdoria,Italy
252,Genoa CFC,Italy
6574,US Sassuolo,Italy
410,Udinese Calcio,Italy
416,Torino FC,Italy
800,Atalanta BC,Italy
1025,Bologna FC 1909,Italy
749,Empoli FC ,Italy
458,US Palermo,Italy
4102,Carpi FC 1909,Italy
862,Chievo Verona,Italy
276,Hellas Verona,Italy
8970,Frosinone Calcio,Italy
1390,Cagliari Calcio,Italy
2921,Delfino Pescara 1936,Italy
4083,FC Crotone,Italy
2722,SPAL 2013,Italy
4171,Benevento Calcio,Italy
2722,SPAL,Italy
130,Parma Calcio 1913,Italy
19,Brescia Calcio,Italy
1005,US Lecce,Italy
3522,Spezia Calcio,Italy
749,FC Empoli,Italy
607,Venezia FC,Italy
380,US Salernitana 1919,Italy
27,Bayern Munich,Germany
16,Borussia Dortmund,Germany
82,VfL Wolfsburg,Germany
15,Bayer 04 Leverkusen,Germany
33,FC Schalke 04,Germany
18,Borussia Mönchengladbach,Germany
533,TSG 1899 Hoffenheim,Germany
39,1.FSV Mainz 05,Germany
79,VfB Stuttgart,Germany
44,Hertha BSC,Germany
24,Eintracht Frankfurt,Germany
167,FC Augsburg,Germany
3,1.FC Köln,Germany
86,SV Werder Bremen,Germany
41,Hamburger SV,Germany
42,Hannover 96,Germany
4795,FC Ingolstadt 04,Germany
105,SV Darmstadt 98,Germany
23826,RB Leipzig,Germany
60,SC Freiburg,Germany
38,Fortuna Düsseldorf,Germany
4,1.FC Nuremberg,Germany
89,1.FC Union Berlin,Germany
127,SC Paderborn 07,Germany
10,Arminia Bielefeld,Germany
80,VfL Bochum,Germany
65,SpVgg Greuther Fürth,Germany
583,Paris Saint-Germain,France
162,AS Monaco,France
1041,Olympique Lyon,France
244,Olympique Marseille,France
618,AS Saint-Étienne,France
273,Stade Rennais FC,France
40,FC Girondins Bordeaux,France
417,OGC Nice,France
1082,LOSC Lille,France
1158,FC Lorient,France
969,Montpellier HSC,France
1421,Stade Reims,France
415,FC Toulouse,France
995,FC Nantes,France
1162,SM Caen,France
855,EA Guingamp,France
1420,Angers SCO,France
1095,ESTAC Troyes,France
595,SC Bastia,France
3558,GFC Ajaccio,France
347,FC Metz,France
1159,AS Nancy-Lorraine,France
2969,Dijon FCO,France
1416,Amiens SC,France
667,RC Strasbourg Alsace,France
1160,Nîmes Olympique,France
3911,Stade Brestois 29,France
826,RC Lens,France
3524,Clermont Foot 63,France
