Stadium name,Club_id
El Molinón - Enrique Castro Quini,2448.0
Estadio de Gran Canaria,472.0
Abanca Riazor,897.0
La Rosaleda,1084.0
Montilivi,12321.0
Butarque,1244.0
Ipurua,1533.0
El Alcoraz,5358.0
Nuevo José Zorrilla,366.0
Santiago Bernabéu,418.0
Spotify Camp Nou,131.0
Civitas Metropolitano,13.0
La Cerámica,1050.0
Ramón Sánchez-Pizjuán,368.0
Reale Arena ,681.0
Mestalla,1049.0
Benito Villamarín,150.0
San Mamés,621.0
Coliseum Alfonso Pérez,3709.0
RCDE Stadium,714.0
Abanca Balaídos,940.0
El Sadar,331.0
Nuevo Los Cármenes,16795.0
Ciutat de València,3368.0
Mallorca Son Moix,237.0
Manuel Martínez Valero,1531.0
Nuevo Mirandilla,2687.0
Campo de Fútbol de Vallecas,367.0
Mendizorroza,1108.0
MKM Stadium,3008.0
Stadium of Light,289.0
Riverside Stadium,641.0
bet365 Stadium,512.0
Swansea.com Stadium,2288.0
John Smith's Stadium,1110.0
Cardiff City Stadium,603.0
Vitality Stadium,989.0
Craven Cottage,931.0
Bramall Lane,350.0
The Hawthorns,984.0
Etihad Stadium,281.0
Anfield,31.0
Stamford Bridge,631.0
Old Trafford,985.0
Tottenham Hotspur Stadium,148.0
Emirates Stadium,11.0
King Power Stadium,1003.0
Villa Park,405.0
Goodison Park,29.0
Molineux Stadium,543.0
London Stadium,379.0
AMEX Stadium,1237.0
St James' Park,762.0
Elland Road,399.0
St Mary's Stadium,180.0
Brentford Community Stadium,1148.0
Selhurst Park,873.0
Carrow Road,1123.0
Vicarage Road,1010.0
Turf Moor,1132.0
Audi Sportpark,4795.0
Merck-Stadion am Böllenfalltor,105.0
Volksparkstadion,41.0
Heinz-von-Heiden-Arena,42.0
Max-Morlock-Stadion,4.0
MERKUR SPIEL-ARENA,38.0
Home Deluxe Arena,127.0
Veltins-Arena,33.0
Wohninvest-Weserstadion,86.0
Allianz Arena,27.0
SIGNAL IDUNA PARK,16.0
Red Bull Arena,23826.0
BayArena,15.0
Volkswagen Arena,82.0
Stadion im Borussia-Park,18.0
Deutsche Bank Park,24.0
PreZero Arena,533.0
Europa-Park Stadion,60.0
Mercedes-Benz Arena,79.0
Olympiastadion Berlin,44.0
Mewa Arena,39.0
Stadion An der Alten Försterei,89.0
RheinEnergieSTADION,3.0
WWK ARENA,167.0
SchücoArena,10.0
Vonovia Ruhrstadion,80.0
Sportpark Ronhof | Thomas Sommer,65.0
Stade Ange-Casanova,3558.0
Stade Armand-Cesari,595.0
Stade Marcel-Picot,1159.0
Stade du Roudourou,855.0
Stade Michel-d'Ornano,1162.0
Stadium Municipal,415.0
Stade Crédit Agricole la Licorne,1416.0
Stade Gaston-Gérard,2969.0
Stade des Antonins,1160.0
Parc des Princes,583.0
Groupama Stadium,1041.0
Stade Louis-II,162.0
Decathlon Arena-Stade Pierre-Mauroy,1082.0
Roazhon Park,273.0
Orange Vélodrome,244.0
Allianz Riviera,417.0
Stade Bollaert-Delelis,826.0
Stade Auguste-Delaune,1421.0
Stade de la Mosson,969.0
Stade de la Meinau,667.0
Matmut Atlantique,40.0
Stade de la Beaujoire,995.0
Stade Geoffroy-Guichard,618.0
Stade Francis-Le Blé,3911.0
Stade Saint-Symphorien,347.0
Stade Raymond Kopa,1420.0
Stade de l'Aube,1095.0
Stade du Moustoir,1158.0
Stade Gabriel-Montpied,3524.0
Adriatico,2921.0
Marcantonio Bentegodi,862.0
Benito Stirpe,8970.0
Mario Rigamonti,19.0
Paolo Mazza,2722.0
Ettore Giardiniero,1005.0
Ennio Tardini,130.0
Ezio Scida,4083.0
Ciro Vigorito,4171.0
Allianz Stadium,506.0
Giuseppe Meazza,46.0
Giuseppe Meazza,5.0
Stadio Diego Armando Maradona,6195.0
Gewiss Stadium,800.0
Olimpico di Roma,12.0
Artemio Franchi,430.0
Olimpico di Roma,398.0
Mapei Stadium - Città del Tricolore,6574.0
Stadio Olimpico Grande Torino,416.0
Stadio Renato Dall’Ara,1025.0
Marcantonio Bentegodi,276.0
Dacia Arena,410.0
Unipol Domus,1390.0
Luigi Ferraris,1038.0
Carlo Castellani,749.0
Luigi Ferraris,252.0
Pier Luigi Penzo,607.0
Alberto Picco,3522.0
Arechi,380.0
