club_full_name,defence_attack_diff
US Sassuolo,0.6918020006683104
SS Lazio,0.6906527651931832
Bayern Munich,0.6661074401482664
Hellas Verona,0.6648031072011692
Bayer 04 Leverkusen,0.6601488837245711
Borussia Dortmund,0.6377650668094961
Paris Saint-Germain,0.6155541174343654
Olympique Lyon,0.5670392932923083
Udinese Calcio,0.5529024861112511
RC Lens,0.5393539661995812
Leicester City,0.4934024773325839
FC Empoli,0.4887314896048366
Stade Rennais FC,0.4872241085987125
Leeds United,0.483539953657677
Borussia Mönchengladbach,0.48353788873983705
Atalanta BC,0.4735961246882783
Manchester United,0.4711161645094839
Liverpool FC,0.43843214714044193
Montpellier HSC,0.4268114485801449
RB Leipzig,0.4209773170892361
Everton FC,0.42032976123961663
Clermont Foot 63,0.40535997744196944
AS Monaco,0.40505067317935406
US Salernitana 1919,0.40290361075842573
ACF Fiorentina,0.39194822965961085
Manchester City,0.3897501758598105
Inter Milan,0.37908271799730475
West Ham United,0.3783222948279462
1.FC Köln,0.37498009485177913
Stade Brestois 29,0.3607402822254119
TSG 1899 Hoffenheim,0.3463118249313428
Olympique Marseille,0.34114742793660163
SSC Napoli,0.3357836076154749
UC Sampdoria,0.3330296875177231
RC Strasbourg Alsace,0.33288896259543943
Spezia Calcio,0.3276582591327946
Bologna FC 1909,0.3202210469331356
FC Nantes,0.3153186253682894
Arsenal FC,0.3057156237902411
VfB Stuttgart,0.2932860526383133
LOSC Lille,0.28828629930644717
Aston Villa,0.27647535340099416
Chelsea FC,0.2756420275135995
Southampton FC,0.27246639357981817
Angers SCO,0.2694454379858864
AS Roma,0.26797859997523393
VfL Bochum,0.2605000342575356
OGC Nice,0.25694345866005003
AC Milan,0.256057165087911
Newcastle United,0.25236267562996306
SC Freiburg,0.24531903134482425
1.FC Union Berlin,0.24520589487032218
1.FSV Mainz 05,0.22723306062766407
Juventus FC,0.21990821886479434
Tottenham Hotspur,0.21211572441177917
Hertha BSC,0.2103119780144064
Brentford FC,0.20962244259999907
ESTAC Troyes,0.20038342917824503
Stade Reims,0.2003465719153001
FC Augsburg,0.18857066539889858
VfL Wolfsburg,0.1830480792756355
Eintracht Frankfurt,0.17932442408369934
Torino FC,0.1625356747578151
FC Lorient,0.14645415086643346
Brighton & Hove Albion,0.1402553424559276
Crystal Palace,0.11858444878193872
Wolverhampton Wanderers,-0.054965650201588945
